question,answer
Was führt zu einer zunehmenden Datenflut/ Big Data??,"Zunehmende Digitalisierung (Scannerkassen, Transaktionen im Internet, Social Media, Activity Tracker, Wearables, Smart-Home-Systeme)"
Wodurch wird ein Mehrwert generiert?,"durch Analyse der Datenflut, d.h. Daten -> Informationen -> Wissen"
Was versteht man unter Business Intelligence (BI) (Lackes/ Siepermann)?,Sammelbegriff für den IT-gestützten Zugriff auf Informationen sowie die IT-gestützte Analyse und Aufbereitung dieser Informationen
Was ist das Ziel von BI (Lackes/ Siepermann)?,Generierung von neuem Wissen aus dem bereits vorhandenem Wissen im Unternehmen
"Was ist bei dem neuen Wissen zu beachten (Lackes, Siepermann)?","Wissen sollte relevant und handlungsorientiert sein, d.h. es sollte Managemententscheidungen zur Steuerung des Unternehmens unterstützen"
Was versteht man unter BI (Hummeltenberg)?,"Die auf eine Unterstützung, Durchführung und Kontrolle betrieblicher Aktivitäten ausgerichtete Intelligenz (Einsicht) sowie die zu ihrer Erzielung eingesetzten Konzepte, Methoden und Informationssysteme"
Wie werden Business Intelligence und Data Mining voneinander abgegrenzt?,"nicht immer einheitliche Abgrenzung, aber i.d.R. Data Mining = Teilgebiet von BI"
Was sind Teilberreiche von BI?,Data Mining; Datenerfassung; Datenhaltung (z.B. Data Warehouse); Wissensmanagement
Was versteht man unter Data Mining allgemein?,interdisziplinäre Wissenschaft mit Möglichkeit zur Entdeckung bisher unbekannter Informationen aus großen Datenbeständen in Datenbanken mittels verschiedener hochkomplexer Datenanalysemethoden und -verfahren
Was versteht man unter Data Mining im weiteren Sinne?,Der gesamte Prozess der Wissensentdeckung in großen Datenbeständen
Was versteht man unter Data Mining im engeren Sinne?,verschiedene Datenanalysemethoden (multivariate Verfahren aus der Statistik; Entscheidungsbaummodelle; Maschinelles Lernen; Neuronale Netze; Text Mining)
Nennen Sie verschiedene multivariate Verfahren aus der Statistik!,"Regressionsanalyse, Varianzanalyse, Clusteranalye, Diskriminanzanalyse, Faktorenanalyse, Conjoint-Analyse etc."
Was ist ein Synonym für Data Mining?,Knowledge Discovery in Databases (KDD)
Nennen Sie den Ablauf eines Datenanalyseprozesses!,1.) Aufgabendefinition 2.) Datenerhebung/Datenverständnis 3.) Datenaufbereitung 4.) Auswahl und Anwendung von Data Mining-Methoden 5.) Interpretation der Ergebnisse 6.) Anwendung der Ergebnisse
Beschreiben Sie die Aufgabendefinition im Datenanalyseprozess näher!,Bestimmung der Problemstellung und Ableitung von Zielen
Beschreiben Sie den Schritt Datenerhebung/ Datenverständnis im Datenanalyseprozess näher!,Auswahl der relevanten Datenbestände (Primärstatistik vs. Sekundärstatistik); Datengrundlage oft Data Warehouse
Was ist bei der Datenaufbereitung im Datenanalyseprozess zu beachten?,geeignetes Format; Überprüfung der Datenqualität mittels Datensichtung über Tabellen/ Grafiken; Behandlung fehlender/ falscher Merkmalswerte und von Ausreißern
Was ist bei der Auswahl und der Anwendung von Data Mining-Methoden im Datenanalyseprozess zu beachten?,"Abhängigkeit von inhaltlicher Fragestellung, Datenmenge und Skalierung -> i.d.R. multivariate statistische Methoden"
Beschreiben Sie die Interpretation der Ergebnisse im Datenanalyseprozess!,Ausfiltern handlungsrelevanter Ergebnisse
Beschreiben Sie die Anwendung der Ergebnisse im Datenanalyseprozess!,Bewertung und Umsetzung für Problemstellung
Woran orientiert sich die Vorgehensweise des Datenanalyseprozesses?,"Am Standardmodell für Data Mining, dem CRISP-DM (Cross-industry standard process for data mining)"
Wie gestaltet sich die Zeitaufteilung des Datenanalyseprozesses?,"Verwendung Großteil der Zeit für Datenerhebung, Datenauswahl und Datenaufbereitung; eigentliches Rechnen nur ca. 10% der Zeit in der Praxis"
Was sind die häufigsten Fehlerquellen im Datenanalyseprozess?,Unzureichende Datenqualität (v.a. keine repräsentativen Daten); oft falsche Anwendung/ Interpretation der Methoden in Zeiten einfach zu bedienender Softwareprogramme
Nennen Sie die wichtigen Anwendungsgebiete des Data Mining!,"Handel (CRM); Banken (Kreditvergabe); Versicherungen (Risikoanalyse); Pharmaindustrie (Medikamentenwirkungsforschung); Industrie (Fehleranalyse bei Fertigungsprozessen); Markt- und Meinungsforschung (politische Umfragen); Kriminalitätsbekämpfung (Rasterfahndung); Stadt-, Regional- und Länderanalysen in der VWL"
Wie wird eine statistische Einheit/ Merkmalsträger definiert?,"Ein Objekt, dessen Eigenschaften festgestellt werden sollen"
Definieren Sie die statistische Masse/ Grundgesamtheit!,Gesamtheit der Merkmalsträger
Was ist eine Stichprobe/ Teilgesamtheit?,Teil der Elemente der Grundgesamtheit
Was ist ein Panel?,regelmäßige Datenerhebung bei der gleichen Stichprobe zwecks Längsschnittanalysen
Was ist ein Merkmal?,bestimmte messbare Eigenschaft eines Merkmalsträgers
Beschreiben Sie qualitative Merkmale!,nur kategoriale Merkmalsausprägung
Beschreiben Sie quantitative Merkmale!,Möglichkeit der sinnvollen Zuordnung reeller Zahlen; Unterscheidung zwischen diskret und stetig
Nennen Sie verschiedene Skalen!,"Nominalskala, Ordinalskala, Kardinalskala/ metrische Skala (Intervallskala und Verhältnisskala/Ratio-Skala)"
Was ist die Charakteristik der Nominalskala?,nur Ausdruck der Verschiedenartigkeit
Was sind Charakteristiken der ORdinalskala?,"Verschiedenartigkeit sowie Rangordnung -> in der Praxis oft Behandlung als kardinal, d.h. quantitativ"
Was sind Charakteristiken der Kardinalskala/ metrischen Skala?,"Verschiedenartigkeit, Rangordnung und Quantifizierbarkeit der Unterschiede"
Inwiefern unterscheiden sich Intervallskala und Verhältnisskala?,Intervallskala -> willkürlicher Nullpunkt; Verhältnisskala -> absoluter Nullpunkt
Worauf beruhen Test- oder Prüfverfahren?,Stichprobentheorie
Was wird bei Test- oder Prüfverfahren gemacht?,"Prüfen mittels einer Zufallsstichprobe, ob bestimmte Hypothesen über die Grundgesamtheit richtig oder falsch sind."
Welche Hypothesen werden bei Test- oder Prüfverfahren aufgestellt?,Nullhypothese (H0) und Alternativhypothese (H1)
Welche 4 Fälle sind bei Test- oder Prüfverfahren möglich,2 mal richtige Entscheidung; Alpha-Fehler (Fehler 1. Art); Beta-Fehler (Fehler 2. Art)
Wann wird die richtige Entscheidung bei Test- oder Prüfverfahren getroffen?,Annahme H0 nach Stichprobenentscheidung sowie Zutreffen H0 nach wahrem Zustand der Grundgesamtheit bzw. Ablehnen H0 nach Stichprobenentscheidung sowie kein Zutreffen der Nullhypothese nach wahrem Zustand der Grundgesamtheit
Wann kommt es zu einem Alpha-Fehler bei Test- oder Prüfverfahren?,Ablehnung H0 nach Stichprobenentscheidung und Zutreffen H0 nach wahrem Zustand der Grundgesamtheit
Wann kommt es zu einem Beta-Fehler bei Test- oder Prüfverfahren?,Annahme H0 nach Stichprobenentscheidung und kein Zutreffen H0 nach wahrem Zustand der Grundgesamtheit
Ist der wahre Zustand der Grundgesamtheit bei Test- oder Prüfverfahren bekannt oder unbekannt?,unbekannt
Was ist bei statistischen Tests zu vermeiden?,"Das Treffen falscher Entscheidungen, v.a. der Alpha-Fehler "
Was wird bei Test- oder Prüfverfahren festgelegt?,geeignete Prüfgrößen
Was wird bei Test- oder Prüfverfahren vorgegeben?,"Signifikanzniveaus (meist 1%, 5%, 10%)"
Was wird bei Test- oder Prüfverfahren berechnet?,"Berechnung, ob die Prüfgrößen bestimmte, tabellierte Werte überschreiten"
Was wird in den meisten Statistikprogrammen (SPSS) zur Vereinfachung bei Test- oder Prüfverfahren direkt berechnet?,Wahrscheinlichkeit für den Fehler 1. Art (Alpha-Fehler) -> Synonym für dieses berechnete Signifikanzniveau: p-value
Welche Möglichkeiten bestehen bei der Entscheidung von Test- oder Prüfverfahren?,Ablehnung H0 und Annahme H0
Wann wird die Nullhypothese abgelehnt?,von SPSS berechnetes Signifikanzniveau (z.B. 2%) <= vom Nutzer festgelegtes Signifikanzniveau (z.B. 5%)
Wann wird die Nullhypothese angenommen?,von SPSS berechnetes Signifikanzniveau (z.B. 12%) > vom Nutzer festgelegtes Signifikanzniveau (z.B. 5%)
Wann müssen Primärdaten erhoben werden?,Bei Vorliegen der Sekundärdaten in nicht ausreichendem Maße und in nicht ausreichender Qualität
Auf welche Weise kann die Erhebung von Primärdaten erfolgen?,Über eine Vollerhebung oder Teilerhebung (= Stichprobe)
Was sind die Vorteile einer Vollerhebung?,Erfassung aller statistischen Einheiten mit großer regionaler und fachlicher Vielfalt und sehr umfangreichen Auswertungsmöglichkeiten; kein Stichprobenfehler; Basis für Stichproben in der Folgezeit
Was sind die Nachteile einer Vollerhebung?,"hoher Zeit- und Kostenaufwand; Datenverarbeitungsproblematik trotz EDV; in manchen Fällen nicht durchführbar; Ergebnisse ggf. schlechter als bei Stichprobe aufgrund der Notwendigkeit sehr vieler Interviewer, die dann oft nicht ausreichend geschult sind"
